id;total_size;used_size;activated;created_by;created_date
1;32533;26195;false;obediently though derby;2025-05-22T00:13:03
2;21236;26250;true;freely buzzing;2025-05-22T12:01:16
3;1448;32401;true;that unknown;2025-05-21T17:15:27
4;27936;7684;true;reflate;2025-05-21T23:17:58
5;9615;10147;true;gut warm;2025-05-22T08:08:09
6;19302;15573;true;irritably;2025-05-21T19:05:51
7;9888;29898;false;consequently gosh;2025-05-21T23:10:49
8;801;21459;false;furthermore hovel;2025-05-22T05:32:04
9;21120;20126;false;wherever uh-huh;2025-05-22T06:31:28
10;12037;7645;true;mummify geez;2025-05-21T20:01:41
